Transaction,Item,date_time
1,_tt_L160,2024-01
2,_tt_A+B120,2024-01
3,_tt_160,2024-01
4,_tt_120,2024-01
5,_tt_140,2024-01
6,_set_tamu_2111,2024-01
7,_set_tamu_2111,2024-01
7,_tt_160,2024-01
8,_tt_160,2024-01
9,_mm_kamar,2024-01
9,_lemari_P2G,2024-01
10,_tt_180,2024-01
11,_tt_140,2024-01
12,_tt_120,2024-01
13,_tt_160,2024-01
14,_tt_200,2024-01
15,_tt_160,2024-01
16,_tt_100,2024-01
17,_tt_180,2024-01
18,_tt_140,2024-01
19,_tt_160,2024-01
20,_tt_160,2024-01
20,_tt_L120,2024-01
20,_tt_L160,2024-01
21,_set_tamu_sedan_211,2024-01
22,_tt_L160,2024-01
23,_tt_L160,2024-01
24,_tt_160,2024-01
25,_meja_tv_150,2024-01
25,_tt_180,2024-01
25,_set_sudut,2024-01
26,_set_tamu_sedan_211,2024-01
27,_tt_A+B120,2024-01
27,_tt_180,2024-01
27,_set_tamu_sedan_211,2024-01
28,__meja_tv_150,2024-01
29,_tt_100,2024-01
29,_tt_120,2024-01
30,_tt_160,2024-01
31,_rak_sepatu+kursi,2024-01
32,_tt_180,2024-01
33,_tt_120,2024-01
34,_set_sudut,2024-01
35,_set_tamu_2111,2024-01
36,_tt_160,2024-01
37,_tt_L160,2024-01
38,__tt_160,2024-01
39,_tt_140,2024-01
40,_tt_160,2024-01
41,_tt_L180,2024-01
42,_tt_140,2024-01
43,_tt_160,2024-01
44,_tt_160,2024-01
45,_tt_160,2024-01
46,_tt_200,2024-01
46,_tt_160,2024-01
47,_meja_tv_150,2024-01
48,_L100,2024-01
48,_L100,2024-01
49,_set_tamu_2111,2024-01
50,_tt_180,2024-01
51,_tt_100,2024-01
51,_lemari_sudut,2024-01
52,_lemari_sudut,2024-01
53,_rak_sepatu+kursi,2024-01
54,_tt_100,2024-01
55,_rak_sepatu+kursi,2024-01
56,_tt_180,2024-01
57,_meja_tv_minimalis,2024-01
58,_set_makan,2024-01
59,_tt_100,2024-01
60,_tt_160,2024-01
61,_tt_180,2024-01
62,_tt_L160,2024-01
62,_rak_sepatu+kursi,2024-01
63,_tt_160,2024-01
64,_tt_100,2024-01
65,_set_tamu_2111,2024-01
66,_tt_160,2024-01
67,_rak_sepatu+kursi,2024-01
68,_tt_180,2024-01
69,_tt_160,2024-01
70,_tt_160,2024-01
71,_tt_160,2024-01
72,_tt_200,2024-01
73,_tt_90,2024-01
74,_tt_180,2024-01
75,_tt_160,2024-01
76,_set_tamu_2211,2024-01
76,_lemari_sudut,2024-01
77,_tt_160,2024-01
78,_tt_L160,2024-01
79,_tt_160,2024-01
80,_set_tamu_2111,2024-01
81,_meja_tv_minimalis,2024-01
82,_set_tamu_2111,2024-01
83,_tt_160,2024-01
84,_tt_L160,2024-01
85,_tt_160,2024-01
86,_lemari_minimalis_P2G,2024-01
86,_tt_180,2024-01
87,_lemari_sudut,2024-01
88,_set_makan,2024-01
89,_tt_180,2024-01
90,_tt_200,2024-01
91,_set_makan,2024-01
92,_tt_160,2024-01
93,_tt_160,2024-01
94,_tt_180,2024-01
95,_tt_180,2024-01
96,_tt_160,2024-01
97,_lemari_sudut,2024-01
98,_tt_120,2024-01
99,_tt_180,2024-01
100,_tt_A+B90,2024-01
101,_tt_160,2024-01
102,_set_tamu_2111,2024-01
103,_tt_160,2024-01
104,_tt_L180,2024-01
105,_tt_A+B120,2024-01
106,_tt_160,2024-01
106,_tt_180,2024-01
106,_mm_kamar,2024-01
107,_tt_120,2024-01
108,_tt_180,2024-01
109,_tt_200,2024-01
110,_mm_kamar,2024-01
111,_rak_sepatu+kursi,2024-01
112,_meja_rias,2024-01
113,_tt_180,2024-01
114,_set_tamu_2111,2024-01
115,_tt_160,2024-01
116,_tt_L160,2024-01
117,_tt_160,2024-01
118,_set_tamu_2111,2024-01
119,_rak_sepatu+kursi,2024-01
120,_tt_L120,2024-01
121,_tt_L90,2024-01
122,_tt_160,2024-01
123,_tt_L180,2024-01
124,_tt_L160,2024-01
125,_tt_140,2024-01
126,_meja_tamu+buku,2024-01
127,_tt_160,2024-01
128,_tt_160,2024-01
129,_tt_180,2024-01
130,_tt_200,2024-01
131,_meja_tv_minimalis_200,2024-01
132,_tt_140,2024-01
132,_tt_140,2024-01
133,_tt_160,2024-01
134,_set_tamu_2111,2024-01
135,_rak_sepatu+kursi,2024-01
135,_tt_160,2024-01
136,_tt_160,2024-01
137,_meja_tv_150,2024-01
138,_tt_180,2024-01
139,_tt_120,2024-01
140,_set_tamu_2111,2024-01
141,_tt_L160,2024-01
142,_tt_120,2024-01
142,_tt_160,2024-01
143,_tt_160,2024-01
144,_tt_A+B120,2024-02
145,_tt_160,2024-02
146,_tt_160,2024-02
147,_tt_160,2024-02
148,_tt_200,2024-02
149,_rak_sepatu+kursi,2024-02
150,_tt_160,2024-02
151,_tt_180,2024-02
152,_rak_sepatu+kursi,2024-02
153,_kursi_tamu_jati_minimalis,2024-02
154,_tt_160,2024-02
155,_tt_120,2024-02
156,_tt_160,2024-02
157,_tt_120,2024-02
158,_tt_A+B90,2024-02
159,_tt_160,2024-02
160,_tt_160,2024-02
161,_set_tamu_2111,2024-02
162,_tt_180,2024-02
163,_tt_120,2024-02
164,_rak_sepatu+kursi,2024-02
165,_rak_sepatu+kursi,2024-02
166,_tt_160,2024-02
167,_tt_140,2024-02
168,_tt_160,2024-02
169,_tt_A+B100,2024-02
170,_tt_A+B120,2024-02
171,_tt_L140,2024-02
172,_tt_200,2024-02
173,_tt_180,2024-02
174,_tt_A+B100,2024-02
175,_tt_140,2024-02
175,_tt_160,2024-02
175,_tt_160,2024-02
176,_tt_160,2024-02
177,_tt_180,2024-02
178,_tt_L180,2024-02
179,_tt_180,2024-02
180,_tt_160,2024-02
181,_tt_L180,2024-02
182,_tt_180,2024-02
183,_tt_160,2024-02
184,_L200,2024-02
185,_tt_160,2024-02
186,_tt_180,2024-02
186,_rak_sepatu+meja,2024-02
186,_set_sudut,2024-02
187,_rak_sepatu+kursi,2024-02
188,_tt_180,2024-02
189,_tt_L140,2024-02
190,_tt_160,2024-02
191,_set_tamu_2111,2024-02
192,_tt_120,2024-02
193,_tt_160,2024-02
194,_tt_L160,2024-02
195,_tt_160,2024-02
196,_tt_120,2024-02
196,_tt_180,2024-02
197,_tt_160,2024-02
198,_tt_180,2024-02
199,_rak_sepatu+kursi,2024-02
200,_tt_120,2024-02
201,_tt_180,2024-02
202,_tt_L160R,2024-02
203,_tt_L160L,2024-02
203,_tt_L160R,2024-02
203,_tt_L160R,2024-02
204,_tt_160,2024-02
205,_tt_L200,2024-02
205,_tt_L200,2024-02
205,_tt_L200,2024-02
205,_tt_L200,2024-02
205,_tt_L200,2024-02
206,_set_tamu_2111P,2024-02
207,_tt_140,2024-02
208,_tt_L160,2024-02
209,_tt_160,2024-02
210,_tt_120,2024-02
210,_tt_180,2024-02
211,_tt_160,2024-02
212,_set_tamu_2111,2024-02
212,_lemari_sudut,2024-02
213,_tt_200,2024-02
214,_tt_A+_B120,2024-02
215,_tt_180,2024-02
216,_tt_200,2024-02
217,_tt_160,2024-02
218,_tt_180,2024-02
219,_tt_160,2024-02
220,_meja_tv_100,2024-02
221,_tt_120,2024-02
222,_tt_160,2024-02
123,_tt_120,2024-02
124,_tt_160,2024-02
125,_tt_180,2024-02
126,_rak_sepatu+kursi,2024-02
127,_tt_180,2024-02
128,_tt_160,2024-02
128,_tt_160,2024-02
129,_tt_180,2024-02
130,_tt_160,2024-02
131,_set_tamu_2111L,2024-02
132,_tt_180,2024-02
133,_tt_180,2024-02
134,_tt_100,2024-02
135,_meja_tv_150,2024-02
136,_tt_120,2024-02
137,_set_tamu_2111TL,2024-02
138,_tt_160,2024-02
139,_tt_L140R,2024-02
140,_tt_L140L,2024-02
141,_tt_140,2024-02
142,_mm_tv_200,2024-02
142,_rak_sepatu+kursi,2024-02
143,_tt_120,2024-02
144,_tt_180,2024-02
145,_tt_160,2024-02
145,_tt_160,2024-02
146,_tt_160,2024-02
147,_tt_160,2024-02
148,_tt_180,2024-02
149,_tt_L160,2024-02
150,_tt_160,2024-02
150,_tt_180,2024-02
151,_tt_160,2024-02
152,_tt_160,2024-02
153,_tt_180,2024-02
154,_tt_180,2024-02
155,_tt_180,2024-02
156,_set_tamu_2111TL,2024-02
157,_tt_160,2024-02
158,_tt_180,2024-02
159,_set_tamu_2111TL,2024-02
160,_tt_L180L,2024-02
160,_tt_180,2024-02
161,_tt_180,2024-03
162,_tt_A+B100,2024-03
163,_tt_160,2024-03
164,_tt_180,2024-03
165,_tt_L120,2024-03
166,_tt_120,2024-03
167,_tt_160,2024-03
168,_rak_sepatu+kursi,2024-03
169,_tt_160,2024-03
170,_tt_140,2024-03
171,_tt_160,2024-03
171,_tt_160,2024-03
172,_tt_140,2024-03
173,_tt_160,2024-03
