Transaction,Item,date_time,qty
1,tempat_tidur_laci,2024-01-05,1.0
2,tempat_tidur_twin_120,2024-01-09,1.0
3,tempat_tidur_160,2024-01-25,1.0
4,tempat_tidur_120,2024-01-19,1.0
5,tempat_tidur_140,2024-01-30,1.0
6,_set_tamu_2111,2024-01-30,1.0
7,_set_tamu_2111,2024-01-11,1.0
7,tempat_tidur_160,2024-01-05,1.0
8,tempat_tidur_160,2024-01-23,1.0
9,meja_minimalis_kamar,2024-01-10,1.0
9,lemari_2pintugeser,2024-01-08,1.0
10,tempat_tidur_180,2024-01-18,1.0
11,tempat_tidur_140,2024-01-25,1.0
12,tempat_tidur_120,2024-01-04,1.0
13,tempat_tidur_160,2024-01-19,1.0
14,tempat_tidur_200,2024-01-26,1.0
15,tempat_tidur_160,2024-01-01,1.0
16,tempat_tidur_100,2024-01-22,1.0
17,tempat_tidur_180,2024-01-10,1.0
18,tempat_tidur_140,2024-01-18,1.0
19,tempat_tidur_160,2024-01-21,1.0
20,tempat_tidur_160,2024-01-16,1.0
20,tempat_tidur_laci_120,2024-01-20,1.0
20,tempat_tidur_laci,2024-01-20,1.0
21,_set_tamu_sedan_211,2024-01-26,1.0
22,tempat_tidur_laci,2024-01-20,1.0
23,tempat_tidur_laci,2024-01-18,1.0
24,tempat_tidur_160,2024-01-20,1.0
25,_meja_tv_150,2024-01-26,1.0
25,tempat_tidur_180,2024-01-11,1.0
25,_set_sudut,2024-01-25,1.0
26,_set_tamu_sedan_211,2024-01-07,1.0
27,tempat_tidur_twin_120,2024-01-24,1.0
27,tempat_tidur_180,2024-01-26,1.0
27,_set_tamu_sedan_211,2024-01-05,1.0
28,__meja_tv_150,2024-01-30,1.0
29,tempat_tidur_100,2024-01-12,1.0
29,tempat_tidur_120,2024-01-17,1.0
30,tempat_tidur_160,2024-01-03,1.0
31,_rak_sepatu+kursi,2024-01-12,1.0
32,tempat_tidur_180,2024-01-06,1.0
33,tempat_tidur_120,2024-01-27,1.0
34,_set_sudut,2024-01-23,1.0
35,_set_tamu_2111,2024-01-20,1.0
36,tempat_tidur_160,2024-01-23,1.0
37,tempat_tidur_laci,2024-01-21,1.0
38,_tempat_tidur_160,2024-01-15,1.0
39,tempat_tidur_140,2024-01-14,1.0
40,tempat_tidur_160,2024-01-26,1.0
41,tempat_tidur_laci_180,2024-01-21,1.0
42,tempat_tidur_140,2024-01-04,1.0
43,tempat_tidur_160,2024-01-26,1.0
44,tempat_tidur_160,2024-01-15,1.0
45,tempat_tidur_160,2024-01-14,1.0
46,tempat_tidur_200,2024-01-29,1.0
46,tempat_tidur_160,2024-01-27,1.0
47,_meja_tv_150,2024-01-25,1.0
48,tempat_tidur_laci_100,2024-01-08,1.0
48,tempat_tidur_laci_100,2024-01-08,1.0
49,_set_tamu_2111,2024-01-01,1.0
50,tempat_tidur_180,2024-01-17,1.0
51,tempat_tidur_100,2024-01-26,1.0
51,_lemari_sudut,2024-01-03,1.0
52,_lemari_sudut,2024-01-02,1.0
53,_rak_sepatu+kursi,2024-01-25,1.0
54,tempat_tidur_100,2024-01-16,1.0
55,_rak_sepatu+kursi,2024-01-20,1.0
56,tempat_tidur_180,2024-01-30,1.0
57,_meja_tv_minimalis,2024-01-27,1.0
58,_set_makan,2024-01-03,1.0
59,tempat_tidur_100,2024-01-25,1.0
60,tempat_tidur_160,2024-01-03,1.0
61,tempat_tidur_180,2024-01-24,1.0
62,tempat_tidur_laci,2024-01-30,1.0
62,_rak_sepatu+kursi,2024-01-03,1.0
63,tempat_tidur_160,2024-01-08,1.0
64,tempat_tidur_100,2024-01-12,1.0
65,_set_tamu_2111,2024-01-21,1.0
66,tempat_tidur_160,2024-01-23,1.0
67,_rak_sepatu+kursi,2024-01-24,1.0
68,tempat_tidur_180,2024-01-21,1.0
69,tempat_tidur_160,2024-01-27,1.0
70,tempat_tidur_160,2024-01-12,1.0
71,tempat_tidur_160,2024-01-12,1.0
72,tempat_tidur_200,2024-01-02,1.0
73,tempat_tidur_90,2024-01-06,1.0
74,tempat_tidur_180,2024-01-17,1.0
75,tempat_tidur_160,2024-01-30,1.0
76,_set_tamu_2211,2024-01-26,1.0
76,_lemari_sudut,2024-01-16,1.0
77,tempat_tidur_160,2024-01-04,1.0
78,tempat_tidur_laci,2024-01-29,1.0
79,tempat_tidur_160,2024-01-22,1.0
80,_set_tamu_2111,2024-01-18,1.0
81,_meja_tv_minimalis,2024-01-16,1.0
82,_set_tamu_2111,2024-01-27,1.0
83,tempat_tidur_160,2024-01-16,1.0
84,tempat_tidur_laci,2024-01-09,1.0
85,tempat_tidur_160,2024-01-23,1.0
86,lemari_minimalis_2pintugeser,2024-01-27,1.0
86,tempat_tidur_180,2024-01-27,1.0
87,_lemari_sudut,2024-01-09,1.0
88,_set_makan,2024-01-17,1.0
89,tempat_tidur_180,2024-01-02,1.0
90,tempat_tidur_200,2024-01-17,1.0
91,_set_makan,2024-01-29,1.0
92,tempat_tidur_160,2024-01-10,1.0
93,tempat_tidur_160,2024-01-04,1.0
