id,nama_barang,stok
1,tempat_tidur_laci,1
2,tempat_tidur_twin_120,1
3,tempat_tidur_160,1
4,tempat_tidur_120,1
5,tempat_tidur_140,1
6,_set_tamu_2111,1
7,meja_minimalis_kamar,1
8,lemari_2pintugeser,1
9,tempat_tidur_180,1
10,tempat_tidur_200,1
11,tempat_tidur_100,1
12,tempat_tidur_laci_120,1
13,_set_tamu_sedan_211,1
14,_meja_tv_150,1
15,_set_sudut,1
16,__meja_tv_150,1
17,_rak_sepatu+kursi,1
18,_tempat_tidur_160,1
19,tempat_tidur_laci_180,1
20,tempat_tidur_laci_100,1
21,_lemari_sudut,1
22,_meja_tv_minimalis,1
23,_set_makan,1
24,tempat_tidur_90,1
25,_set_tamu_2211,1
26,lemari_minimalis_2pintugeser,1
27,tempat_tidur_twin_90,1
28,_meja_rias,1
29,tempat_tidur_laci_90,1
30,_meja_tamu+buku,1
31,_meja_tv_minimalis_200,1
32,_kursi_tamu_jati_minimalis,1
33,tempat_tidur_twin_100,1
34,tempat_tidur_laci_140,1
35,tempat_tidur_laci_200,1
36,_rak_sepatu+meja,1
37,tempat_tidur_laciR,1
38,tempat_tidur_laciL,1
39,_set_tamu_2111P,1
40,_meja_tv_100,1
41,_set_tamu_2111L,1
42,_set_tamu_2111TL,1
43,tempat_tidur_laci_140R,1
44,tempat_tidur_laci_140L,1
45,meja_minimalis_tv_200,1
46,tempat_tidur_laci_180L,1
47,_set_tamu_2111TK,1
48,tempat_tidur_180_km_15,1
49,tempat_tidur_160_km_15,1
50,_lemari_makan,1
51,meja_minimalis_tv,1
52,_set_tamu,1
53,lemari_minimalis,1
54,mwja_minimalis_120,1
55,tempat_tidur_130,1
56,_set_tamu_betawi_11,1
57,tempat_tidur_laci_180R,1
58,_kursi_males,1
59,tempat_tidur_laci_120R,1
60,meja_minimalis_kamar_persegi,1
61,_meja_tv_200,1
62,meja_minimalis_tv_150+laci,1
63,_set_tamu_2111+1,1
64,meja_minimalis_tv_2x3,1
65,meja_minimalis_kamar_1,1
66,tempat_tidur_140+100,1
67,_set_tamu_busa_211,1
68,tempat_tidur_laci_120L,1
69,tempat_tidur_210,1
70,rak_sepatu+kursi,1
71,_set_tamu_3211,1
72,tempat_tidur_laci_200L,1
73,meja_minimalis_tv_150,1
74,lemari_minimalis_2pintugeser_laci,1
75,_set_tamu_3211+1,1
76,_set_tamu_3111,1
77,tempat_tidur_160_km_10,1
78,_kursi_bale_jati,1
79,lemari_minimalis_tv,1
80,_mm_nakas,1
81,meja_minimalis_kamar_rotan,1
82,tempat_tidur_80,1
83,meja_minimalis_tv_120,1
84,meja_minimalis_tv_2x3_120,1
85,lemari_minimalis_70,1
86,_set_tamu_betawi_21,1
87,meja_minimalis_tv+L,1
